STA_LOC,RENT_NM,AVG_RENT_CNT,TOTAL_RENT_CNT,AVG_RTN_CNT,TOTAL_RTN_CNT,NET_FLOW,IMBAL_RATIO
강북구,1550.삼각산아이원아파트(105동 옆),7.33,22,0.0,0,22,1.0
서초구,4322.서울추모공원 입구,2.0,12,0.0,0,12,1.0
중랑구,1477.면목삼익아파트 앞,0.0,0,1.0,1,-1,1.0
성북구,1379.길음뉴타운푸르지오아파트 3단지,13.83,83,0.33,2,81,0.9529411764705882
서초구,4337. 우면산등산로 입구,4.2,21,0.2,1,20,0.9090909090909091
구로구,3933. 오류동부골든아파트 후문 옆,16.0,96,0.83,5,91,0.900990099009901
종로구,4703. 쌍용아파트2단지 정문,17.0,102,1.0,6,96,0.8888888888888888
성동구,3556.신금호파크자이APT앞,13.67,82,0.83,5,77,0.8850574712643678
동작구,2092.흑석한강푸르지오(110동),15.0,90,1.0,6,84,0.875
중구,434. 신당 래미안 버스정류장,17.0,119,1.14,8,111,0.8740157480314961
관악구,3310.영락고등학교,25.83,155,1.83,11,144,0.8674698795180723
서초구,4340. 방배래미안아트힐아파트 앞,13.0,78,1.0,6,72,0.8571428571428571
동작구,2093.상도SH빌아파트 입구,8.67,52,0.67,4,48,0.8571428571428571
동작구,4162. 노량진1동 청소년독서실,13.83,83,1.17,7,76,0.8444444444444444
마포구,4221. 솔리스타오피스텔(공덕동주민센터),29.33,176,2.67,16,160,0.8333333333333334
은평구,971. 역촌 센트레빌 아파트,21.86,153,2.14,15,138,0.8214285714285714
서초구,4327. 몽마르뜨공원입구,7.17,43,0.83,5,38,0.7916666666666666
성동구,3531. 논골사거리(금호도서관 입구),5.67,34,0.67,4,30,0.7894736842105263
동작구,2096.서울특별시 동작관악교육지원청,5.17,31,0.67,4,27,0.7714285714285715
은평구,975.백련산 힐스테이트상가앞,21.67,130,2.83,17,113,0.7687074829931972
마포구,432. 마포중앙도서관,9.71,68,1.29,9,59,0.7662337662337663
서초구,2226. 신동아럭스빌아파트 앞,12.5,75,1.67,10,65,0.7647058823529411
서초구,4334. 인재개발원 데이터센터,2.5,15,0.33,2,13,0.7647058823529411
금천구,1842. 한울중학교,7.43,52,1.0,7,45,0.7627118644067796
용산구,4621. 남산도서관 앞,25.83,155,3.67,22,133,0.751412429378531
서대문구,167. 연가초등학교 옆,13.5,81,2.0,12,69,0.7419354838709677
성북구,1304. 만해공원,10.83,65,1.67,10,55,0.7333333333333333
송파구,4883. 위례포레샤인18단지 1812동,10.83,65,1.67,10,55,0.7333333333333333
중랑구,1426. 면목도시개발아파트 1동 앞,20.5,123,3.33,20,103,0.7202797202797203
서초구,2532.국립국악원 앞,4.29,30,0.71,5,25,0.7142857142857143
영등포구,4591. 신길자이아파트,34.0,204,6.0,36,168,0.7
동작구,2071. 대림아파트 후문 상가 옆,19.43,136,3.43,24,112,0.7
성북구,1392.돈암삼성풍림아파트,6.33,38,1.17,7,31,0.6888888888888889
서초구,2541.옛골 입구,3.86,27,0.71,5,22,0.6875
서대문구,162. 봉원고가차도 밑,25.14,176,4.86,34,142,0.6761904761904762
마포구,5504.아현교회,10.33,62,2.0,12,50,0.6756756756756757
은평구,4684. 응암2동주민센터 버스정류장(영락중학교 방면),11.17,67,2.17,13,54,0.675
강남구,2304. 대현그린타워,19.33,116,3.83,23,93,0.6690647482014388
마포구,4240. 아현문화건강센터,12.33,74,2.5,15,59,0.6629213483146067
동작구,4158. 노량진근린공원,7.33,44,1.5,9,35,0.660377358490566
은평구,965. 서울특별시 은평병원,12.43,87,2.57,18,69,0.6571428571428571
동작구,2068. 총신대 앞(육교),10.0,70,2.14,15,55,0.6470588235294118
성북구,1342. 성북쉼터 앞,6.0,42,1.29,9,33,0.6470588235294118
관악구,2184. 구암초등학교 버스정류장,9.29,65,2.0,14,51,0.6455696202531646
강서구,2712.화곡터널입구교차로,31.57,221,7.0,49,172,0.6370370370370371
은평구,977.신도중학교앞,8.67,52,2.0,12,40,0.625
금천구,3971. 순흥안씨묘 건너편,2.17,13,0.5,3,10,0.625
은평구,4668. 기자촌사거리 B,12.17,73,2.83,17,56,0.6222222222222222
동작구,2094.숭실대학교(중문) ,19.67,118,4.67,28,90,0.6164383561643836
구로구,2818.천왕이펜하우스3단지 앞,14.86,104,3.57,25,79,0.6124031007751938
