"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각,일교차
"		108",서울,2025-10-01,20.5,25.6,14:21,16.7,6:26,8.9
"		108",서울,2025-10-02,21.4,25.8,13:24,17.3,6:20,8.5
"		108",서울,2025-10-03,21.2,22.3,13:38,19.8,6:21,2.5
"		108",서울,2025-10-04,22.5,25,14:05,20.9,6:24,4.1
"		108",서울,2025-10-05,21.4,22.3,0:32,20.6,19:53,1.7
"		108",서울,2025-10-06,17.6,20.7,0:01,15.4,20:01,5.3
"		108",서울,2025-10-07,18.2,20,13:22,15.5,0:01,4.5
"		108",서울,2025-10-08,21.9,28,15:18,17.2,6:52,10.8
"		108",서울,2025-10-09,20,22.6,13:04,16.9,23:48,5.7
"		108",서울,2025-10-10,17,17.7,13:09,16,3:08,1.7
"		108",서울,2025-10-11,20.3,23.8,13:57,17.3,0:13,6.5
"		108",서울,2025-10-12,19,21.4,13:02,17.6,3:50,3.8
"		108",서울,2025-10-13,15.7,18.3,0:01,13.9,19:50,4.4
"		108",서울,2025-10-14,17.9,20.9,14:02,14.4,0:01,6.5
"		108",서울,2025-10-15,20.2,25.3,14:14,16.1,6:15,9.2
"		108",서울,2025-10-16,20.2,24.8,14:52,17,7:06,7.8
"		108",서울,2025-10-17,19.9,24.8,13:53,15.6,6:00,9.2
"		108",서울,2025-10-18,15.8,18.6,0:01,14.2,23:56,4.4
"		108",서울,2025-10-19,14.5,19.2,13:22,8.9,23:53,10.3
"		108",서울,2025-10-20,10,16.5,15:17,5.3,6:49,11.2
"		108",서울,2025-10-21,9.2,14.1,14:39,4.8,5:44,9.3
"		108",서울,2025-10-22,13.1,18.6,15:08,6.6,3:40,12
"		108",서울,2025-10-23,14.9,19.6,14:24,11.8,4:52,7.8
"		108",서울,2025-10-24,15.8,21.5,15:46,11.3,7:10,10.2
"		108",서울,2025-10-25,14.4,17.7,15:29,12.6,7:37,5.1
"		108",서울,2025-10-26,12.2,13.9,14:34,10.6,23:56,3.3
"		108",서울,2025-10-27,8.1,12.2,14:56,3.7,7:27,8.5
"		108",서울,2025-10-28,8.5,14.4,14:20,3,7:34,11.4
"		108",서울,2025-10-29,11.4,18.3,15:07,6.2,3:32,12.1
"		108",서울,2025-10-30,12.8,18.2,13:44,7.7,6:55,10.5
"		108",서울,2025-10-31,15.1,20.7,14:32,11.3,6:04,9.4
"		108",서울,2025-11-01,12.9,17.7,14:31,10.5,7:22,7.2
"		108",서울,2025-11-02,8,11.7,14:14,3.7,23:52,8
"		108",서울,2025-11-03,7.2,14.7,14:38,0.5,6:18,14.2
"		108",서울,2025-11-04,10.2,16.3,15:07,5.5,6:33,10.8
"		108",서울,2025-11-05,11.6,19,14:06,5.7,6:53,13.3
"		108",서울,2025-11-06,12.5,18.8,14:34,7.3,7:12,11.5
"		108",서울,2025-11-07,13.9,19.9,14:45,8.3,7:28,11.6
"		108",서울,2025-11-08,14.5,17,14:30,12.3,3:17,4.7
"		108",서울,2025-11-09,13.5,17.6,13:02,10.4,23:52,7.2
"		",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"		",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
